name,date,price,views,link
iPhone X 64gb space grey 92%,17/05/2020 10:21  πμ,"
										
											450,00 €
										
									",1207,https://www.insomnia.gr/classifieds/item/1468296-iphone-x-64gb-space-grey-92/
iPhone 8 64GB,17/05/2020 11:03  πμ,"
										
											100,00 €
										
									",214,https://www.insomnia.gr/classifieds/item/1579126-iphone-8-64gb/
iPhone 7 Plus 128 gb,,"
										
											300,00 €
										
									",68,https://www.insomnia.gr/classifieds/item/1579134-iphone-7-plus-128-gb/
Iphone 11 pro max ραγισμένη οθόνη,17/05/2020 11:30  πμ,"
										
											550,00 €
										
									",224,https://www.insomnia.gr/classifieds/item/1579136-iphone-11-pro-max-%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%B7-%CE%BF%CE%B8%CF%8C%CE%BD%CE%B7/
iphone 7 - black,17/05/2020 11:43  πμ,"
										
											199,00 €
										
									",36,https://www.insomnia.gr/classifieds/item/1579145-iphone-7-black/
Iphone 6S 32GB Space grey,17/05/2020 11:54  πμ,"
										
											140,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1579153-iphone-6s-32gb-space-grey/
I phone 6s plus αριστοο,17/05/2020 11:56  πμ,"
										
											170,00 €
										
									",100,https://www.insomnia.gr/classifieds/item/1579155-i-phone-6s-plus-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF%CE%BF/
Διαφανη/Μαυρη λεπτη θηκη σιλικονης για ολα τα Iphone!!!,17/05/2020 12:00  μμ,"
										
											3,00 €
										
									",736,https://www.insomnia.gr/classifieds/item/1235566-%CE%B4%CE%B9%CE%B1%CF%86%CE%B1%CE%BD%CE%B7%CE%BC%CE%B1%CF%85%CF%81%CE%B7-%CE%BB%CE%B5%CF%80%CF%84%CE%B7-%CE%B8%CE%B7%CE%BA%CE%B7-%CF%83%CE%B9%CE%BB%CE%B9%CE%BA%CE%BF%CE%BD%CE%B7%CF%82-%CE%B3%CE%B9%CE%B1-%CE%BF%CE%BB%CE%B1-%CF%84%CE%B1-iphone/
iPhone 7 Plus 128 gb,17/05/2020 12:01  μμ,"
										
											300,00 €
										
									",41,https://www.insomnia.gr/classifieds/item/1579159-iphone-7-plus-128-gb/
iPhone XS Max 256gb Άριστο Ελληνικό,17/05/2020 12:05  μμ,"
										
											690,00 €
										
									",529,https://www.insomnia.gr/classifieds/item/1566502-iphone-xs-max-256gb-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF-%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CF%8C/
Apple iPhone XR White (64GB),17/05/2020 12:43  μμ,"
										
											450,00 €
										
									",165,https://www.insomnia.gr/classifieds/item/1579184-apple-iphone-xr-white-64gb/
IPHONE 7 PLUS 128GB,,"
										
											300,00 €
										
									",37,https://www.insomnia.gr/classifieds/item/1579186-iphone-7-plus-128gb/
iPhone 8 Plus μαύρο 64 gb,17/05/2020 12:45  μμ,"
										
											400,00 €
										
									",53,https://www.insomnia.gr/classifieds/item/1579188-iphone-8-plus-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF-64-gb/
iPhone XR 128Gb ελληνικό και άριστο,17/05/2020 12:54  μμ,"
										
											480,00 €
										
									",251,https://www.insomnia.gr/classifieds/item/1574962-iphone-xr-128gb-%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CF%8C-%CE%BA%CE%B1%CE%B9-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/
iphone 8 ΣΦΡΑΓΙΣΜΕΝΟ,16/05/2020 03:59  μμ,"
										
											460,00 €
										
									",123,https://www.insomnia.gr/classifieds/item/1578762-iphone-8-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF/
iPhone XS Max 256GB,16/05/2020 04:04  μμ,"
										
											615,00 €
										
									",116,https://www.insomnia.gr/classifieds/item/1578766-iphone-xs-max-256gb/
Ψάχνω IPHONE XS MAX και IPHONE 11,16/05/2020 04:07  μμ,"
										
											Επικοινωνία
										
									",87,https://www.insomnia.gr/classifieds/item/1578771-%CF%88%CE%AC%CF%87%CE%BD%CF%89-iphone-xs-max-%CE%BA%CE%B1%CE%B9-iphone-11/
Iphone se 2020 μαύρο σφραγισμένο,16/05/2020 04:36  μμ,"
										
											470,00 €
										
									",97,https://www.insomnia.gr/classifieds/item/1578792-iphone-se-2020-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%BF/
APPLE  30W USB-C Power Adapter(ταχυφορτιστής iphone),16/05/2020 04:44  μμ,"
										
											70,00 €
										
									",216,https://www.insomnia.gr/classifieds/item/1563177-apple-30w-usb-c-power-adapter%CF%84%CE%B1%CF%87%CF%85%CF%86%CE%BF%CF%81%CF%84%CE%B9%CF%83%CF%84%CE%AE%CF%82-iphone/
iPhone 7 128GB Matte Black,16/05/2020 05:11  μμ,"
										
											230,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1578812-iphone-7-128gb-matte-black/
ανταλλαγή iPhone XR Με xs Max/11/11 pro,,"
										
											450,00 €
										
									",157,https://www.insomnia.gr/classifieds/item/1578830-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE-iphone-xr-%CE%BC%CE%B5-xs-max1111-pro/
iPhone 8 64 gb,16/05/2020 05:53  μμ,"
										
											230,00 €
										
									",424,https://www.insomnia.gr/classifieds/item/1571707-iphone-8-64-gb/
IPhone 11 pro max 64 Green,16/05/2020 05:54  μμ,"
										
											1.100,00 €
										
									",131,https://www.insomnia.gr/classifieds/item/1578835-iphone-11-pro-max-64-green/
IPhone se 64 gb Red,16/05/2020 05:58  μμ,"
										
											480,00 €
										
									",125,https://www.insomnia.gr/classifieds/item/1578838-iphone-se-64-gb-red/
