,name,price,type,link,date,model,plus_size
55,7 32gb black 21 08 21,229,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674969-apple-iphone-7-32gb-black-%CE%B5%CE%B3%CE%B3%CF%8D%CE%B7%CF%83%CE%B7-%CE%BC%CE%AD%CF%87%CF%81%CE%B9-210821/,2020-11-13 09:52:00,7,0
56,11pro 512 black,799,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674944-iphone-11pro-512-black/,2020-11-13 09:02:00,11,0
57,one plus 7t pro 8 256 se 2020 256,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1671160-one-plus-7t-pro-8-256-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AE-%CE%BC%CE%B5-se-2020-256/,2020-11-13 09:07:00,,2
58,xs max 64gb,530,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674953-iphone-xs-max-64gb/,2020-11-13 09:27:00,xs,0
59,new 12 blue 128gb,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674963-new-apple-iphone-12-blue-128gb-%CE%BD%CE%B5%CE%B1-%CF%84%CE%B9%CE%BC%CE%B7/,2020-11-13 09:37:00,,0
60,6s 6 plus 6 4s,70,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1662802-iphone-6s-iphone-6-plus-iphone-6-iphone-4s/,2020-11-13 09:43:00,6s,1
61,11 pro 256gb gold,880,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674967-iphone-11-pro-256gb-gold/,2020-11-13 09:45:00,11,2
62,11 pro max 256gb space grey kai,930,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674979-iphone-11-pro-max-256gb-space-grey-kai-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/,,11,3
63,xs space grey 64 gb,550,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674992-iphone-xs-space-grey-64-gb/,2020-11-13 10:38:00,xs,0
64,8 64,340,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674995-iphone-864-%CE%BC%CE%B1%CF%85%CF%81%CE%BF/,2020-11-13 10:47:00,8,0
65,12 128gb kai,930,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675005-iphone-12-128gb-%CF%87%CE%B8%CE%B5%CF%83%CE%B9%CE%BD%CE%BF-kai-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/,2020-11-13 11:04:00,12,0
66,xs,600,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675014-iphone-xs/,2020-11-13 11:21:00,xs,0
67,xr 64gb space gray 13,450,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675018-i-phone-xr-64gb-space-gray-%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CE%BF-13-%CE%BC%CE%B7%CE%BD%CF%89%CE%BD-%CF%85%CF%80%CE%B5%CF%81%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/,2020-11-13 11:26:00,xr,0
68,x 64gb space gray,400,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1654049-apple-iphone-x-64gb-space-gray/,,x,0
69,11 pro max 64gb,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675036-iphone-11-pro-max-64gb/,2020-11-13 11:53:00,11,3
70,se 16gb ios 14,90,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1647937-apple-iphone-se-16gb-ios-14-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/,2020-11-12 20:00:00,,0
71,6s 64gb,95,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1665841-iphone-6s-64gb/,,6s,0
72,x 64gb,500,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674750-iphone-x-64gb/,2020-11-12 20:28:00,x,0
73,12 pro graphite 512 gb 7,1500,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674759-iphone-12-pro-graphite-512-gb-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%8D%CF%81%CE%B9%CE%BF-7-%CE%B7%CE%BC%CE%B5%CF%81%CF%8E%CE%BD/,2020-11-12 20:44:00,12,2
74,6s 32gb,100,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674782-iphone-6s-32gb/,,6s,0
75,7 plus 128 gb mate black,330,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674796-iphone-7-plus-128-gb-mate-black/,2020-11-12 21:43:00,7,1
76,xr 64gb 4,480,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1665763-iphone-xr-64gb-%CE%BB%CE%B5%CF%85%CE%BA%CE%BF-4-%CE%BC%CE%B7%CE%BD%CF%89%CE%BD/,2020-11-12 21:44:00,xr,0
77,pro 128gb graphite silver,1190,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674827-iphone-pro-128gb-graphite-silver-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%B1/,2020-11-12 22:23:00,,2
78,x,450,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1666654-%CF%80%CE%B1%CF%84%CF%81%CE%B1-iphone-x/,2020-11-12 22:39:00,x,0
79,11 64gb product red,540,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674839-iphone-11-64gb-product-red/,2020-11-12 22:41:00,11,0
80,11 64gb,520,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674841-iphone-11-64gb/,2020-11-12 22:43:00,11,0
81,7 32gb black,90,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674845-iphone-7-32gb-black/,2020-11-12 22:55:00,7,0
82,11 pro max 64 g,800,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1651720-iphone-11-pro-max-64-g-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF/,2020-11-12 23:04:00,11,3
83,11 olokainourgia,30,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1670910-%CF%80%CF%89%CE%BB%CE%BF%CF%85%CE%BD%CF%84%CE%B1%CE%B9-%CE%B1%CE%BA%CE%BF%CF%85%CF%83%CF%84%CE%B9%CE%BA%CE%B1-%CF%86%CE%BF%CF%81%CF%84%CE%B9%CF%83%CF%84%CE%B7%CF%82-iphone-11-olokainourgia/,2020-11-12 23:12:00,11,0
84,11 pro max 512 gb midnight green 2020,1300,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1663837-iphone-11-pro-max-512-gb-midnight-green-%CE%B5%CE%BD%CE%B5%CF%81%CE%B3%CE%BF%CF%80%CE%BF%CE%B9%CE%B7%CE%B8%CE%B7%CE%BA%CE%B5-%CF%84%CE%BF%CE%BD-%CE%B1%CF%85%CE%B3%CE%BF%CF%85%CF%83%CF%84%CE%BF-%CF%84%CE%BF%CF%85-2020/,2020-11-12 23:21:00,11,3
85,12 pro 256gb blue and black,1349,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674874-12-pro-256gb-%CF%83%CE%B5-blue-and-black/,2020-11-13 00:05:00,12,2
86,7 32 gb white,180,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1662969-iphone%C2%A07%C2%A032-gb-%C2%A0white/,2020-11-13 00:27:00,7,0
87,se 2020,400,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674884-iphone-se-2020/,2020-11-13 00:37:00,,0
88,6s 16gb,110,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674897-iphone-6s-16gb-%CF%87%CF%81%CF%85%CF%83%CF%8C-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/,2020-11-13 01:08:00,6s,0
89,8 plus 64gb space gray,220,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674907-apple-iphone-8-plus-64gb-space-gray/,,8,1
90,12 pro,1220,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674910-iphone-12-pro/,2020-11-13 02:08:00,12,2
91,11 64gb black 100,560,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674913-iphone-11-64gb-black-100-%CE%BC%CF%80%CE%B1%CF%84%CE%B1%CF%81%CE%AF%CE%B1-%CF%85%CF%80%CE%BF%CE%BB%CE%BF%CE%B9%CF%80%CE%BF-%CE%B5%CE%B3%CE%B3%CF%85%CE%B7%CF%83%CE%B7%CF%83/,2020-11-13 02:54:00,11,0
92,5s 6s,85,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674928-iphone-5s-%CE%BA%CE%B1%CE%B9-iphone-6s/,2020-11-13 04:55:00,,0
93,se 16g 94 health 5s,,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1391490-%CF%80%CF%8E%CE%BB%CE%B7%CF%83%CE%B7-iphone-se-16g-94-health-%CE%BA%CE%B1%CE%B9-5s/,2020-11-13 05:49:00,,0
94,xs max 64gb,460,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674936-iphone-xs-max-64gb/,2020-11-13 07:41:00,xs,0
95,11 128gb,600,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1662434-iphone-11-128gb/,2020-11-13 12:28:00,11,0
96,11 pro 12 mini,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675072-iphone-11-pro-%CE%B3%CE%B9%CE%B1-iphone-12-mini/,2020-11-13 12:43:00,11,2
97,xr 64gb,450,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1658620-iphone-xr-64gb/,2020-11-13 12:53:00,xr,0
98,xr 64gb,500,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1662459-iphone-xr-64gb/,2020-11-13 12:55:00,xr,0
99,xs 64gb,440,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1671257-iphone-xs-64gb-%CF%83%CE%B1%CE%BD-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%85%CF%81%CE%B3%CE%B9%CE%BF/,2020-11-13 12:59:00,xs,0
100,7 plus,320,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674712-iphone-7-plus/,2020-11-12 19:26:00,7,1
101,7 plus 128gb,190,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674718-iphone-7-plus-128gb/,2020-11-12 19:29:00,7,1
102,6s 32gb,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674729-iphone-6s-32gb-%CE%BC%CE%B1%CF%85%CF%81%CE%BF/,,6s,0
103,11 pro max 64gb space gray 2,,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1657706-apple-iphone-11-pro-max-64gb-space-gray-2-%CE%BC%CE%B7%CE%BD%CF%8E%CE%BD-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%B9%CE%BA%CE%B7/,2020-11-12 15:44:00,11,3
104,11 pro max,550,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674561-iphone-11-pro-max/,2020-11-12 15:47:00,11,3
105,12 128gb blue 11 pro 256 green 12 128gb,1,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674564-iphone-12-128gb-blueiphone-11-pro-256-green-iphone-12-128gb%CE%BB%CE%B5%CF%85%CE%BA%CE%BF-%CE%BC%CE%B1%CF%85%CF%81%CE%BF-%CE%BC%CF%80%CE%BB%CE%B5-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%B1/,2020-11-12 15:51:00,12,2
106,xs space grey 64gb,640,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674565-iphone-xs-space-grey-64gb-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%B7-%CE%BA%CE%B1%CF%84%CE%B1%CF%83%CF%84%CE%B1%CF%83%CE%B7/,2020-11-12 15:54:00,xs,0
107,6 32gb gold,100,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674567-iphone-6-32gb-gold/,2020-11-12 15:56:00,6,0
108,x 64gb,400,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674595-iphone-x-64gb/,2020-11-12 16:38:00,x,0
109,xs 64 gb,350,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674525-iphone-xs-64-gb-%CE%BA%CE%BB%CE%B5%CE%B9%CE%B4%CF%89%CE%BC%CE%B5%CE%BD%CF%89-%CE%B4%CF%85%CE%BA%CF%84%CE%B9%CE%BF/,2020-11-12 14:44:00,xs,0
110,7 black 32gb,190,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674528-iphone-7black32gb/,2020-11-12 14:49:00,7,0
111,11 product red 64gb,540,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674530-i-phone-11product-red-64gb/,2020-11-12 14:55:00,11,0
112,12 128gb,920,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674543-iphone-12-128gb/,2020-11-12 15:15:00,12,0
113,8 plus 64gb red edition,350,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674546-iphone-8-plus-64gb-red-edition/,2020-11-12 15:22:00,8,1
114,11pro max 64gb,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1660816-iphone-11pro-max-64gb/,2020-11-12 15:43:00,11,0
115,xs 64 gb space grey,480,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1665770-iphone-xs-64-gb-space-grey/,2020-11-12 16:58:00,xs,0
116,6s 16gb,110,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674626-iphone-6s-16gb/,2020-11-12 17:22:00,6s,0
117,x 256gb,350,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1670450-iphone-x-256gb/,2020-11-12 17:31:00,x,0
118,11 pro max 64gb midnight green,880,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1674639-iphone-11-pro-max-64gb-midnight-green/,2020-11-12 17:33:00,11,3
